set,kind,market_id,title,prefilter,prefilter_family,market_slug,event_slug,event_title
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x736e426f9dfa6e12d5a69b29d1523ae7e067b72957335792321823e96cf92bd8,Canucks vs. Kraken,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xe6ceba63960f93ba6c6658fdfedc1aad9f480b2a6b9a8c81b20c2a103f1208ed,Pfeiffer Falcons vs. High Point Panthers,RESIDUAL,,cbb-pfeifr-hpnt-2025-12-28,cbb-pfeifr-hpnt-2025-12-28,Pfeiffer Falcons vs. High Point Panthers
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x6dfa84dd70924c450ffa8d7afa25c9958b6997e90952477c0b8fd70df3278394,Miami Open: Tommy Paul vs Raphael Collignon,RESIDUAL,,atp-paul-collign-2026-03-22,atp-paul-collign-2026-03-22,Miami Open: Tommy Paul vs Raphael Collignon
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x42c46dd7bafd2449229183f648935edaeeef671fbb2ad527441e2621fd70f4d6,Will Elon tweet 625-649 times March 14-21?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x44a3e8a41fcfa2032888ec22dea3919e238a11facd37b75e87acb70cf51a60cb,SK Sturm Graz leading at halftime?,RESIDUAL,,aut-stu-scr-2026-05-17-halftime-result-home,aut-stu-scr-2026-05-17-halftime-result,SK Sturm Graz vs. SK Rapid - Halftime Result
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xdfb12580d46748b026102c81464ab92019fb5322c223c0a5af31f5cb32518302,Will a candidate win outright in Ireland’s first round?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x1d7c49e071104654afb3090656cbe97cf425a4d1584ec0abe4025ffa72155c40,Will Katja Stam & Raisa Schoon (NED) win Gold in Beach Volleyball?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x8398dd8877f9e8383f56c96c6131a6c12fb3bfe05091898bc7360580535c0dab,"Will the price of Ethereum be between $4,200 and $4,225 on September 22 at 8AM ET?",RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xa3448c4a6db3ed6443e8a7e865ad2943e80bb598a8b183a03d14d092bd7ff98e,"Will Saylor say ""Inflation"" during his Strategy World 2025 keynote?",RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x5331457332c12a0edebcf206b3bd79ee2059e0a0e875c5922653c77031c93982,"Will ""Dude"" be said 5+ times during the first episode of the Joe Rogan Experience this week? (February 15)",RESIDUAL,,will-dude-be-said-5-times-during-the-first-episode-of-the-joe-rogan-experience-this-week-february-15,what-will-be-said-on-the-first-joe-rogan-experience-episode-of-the-week-february-15,What will be said on the first Joe Rogan Experience episode of the week? (February 15)
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xafc160ae9381f65890b01440b100ff1a849fa73b885217c91e12c5e33306aff1,Abilene Christian Wildcats vs. UTSA Roadrunners,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xa1ab1644555093815af6876035b87f96ed4f7192b07c66570f24a593c66a6906,Will Zohran Mamdani be named in newly released Epstein files by February 28?,RESIDUAL,,will-zohran-mamdani-be-named-in-newly-released-epstein-files-by-february-28,who-will-be-named-in-newly-released-epstein-files-by-february-28,Who will be named in newly released Epstein files by February 28?
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x1dff54f09236786b8e52b1d19b261f9126d27acde4d1fa75ff342ac19fd9a92f,"Will Elon Musk post 40-64 tweets from April 16 to April 18, 2026?",RESIDUAL,,elon-musk-of-tweets-april-16-april-18-40-64,elon-musk-of-tweets-april-16-april-18,"Elon Musk # tweets April 16 - April 18, 2026?"
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xe629a51aa12d0ce202d802e36cfffe28bfcd58e2be6f9b3e371b9dda121261f3,TCU vs. BYU,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x9390bafef88537e5d49c12b450ceaabaeec323bd33d815443a61755b1f0f9ec1,Switzerland leading at halftime?,RESIDUAL,,fifwc-arg-che-2026-07-11-halftime-result-away,fifwc-arg-che-2026-07-11-halftime-result,Argentina vs. Switzerland - Halftime Result
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xc55bae557cda2d888621920926cd33bf5de604fd8e7cd3c3a013fd6ad662af2a,Will the price of Solana be between $160 and $170 on January 1?,RESIDUAL,,will-the-price-of-solana-be-between-160-170-on-january-1,solana-price-on-january-1,Solana price on January 1?
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x99f3a0e6f31fbb2c3d21905ecd9f2168ff8bb9e18588e16e9044664fa5456854,Theo Johnson: Anytime Touchdown,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x4c3fb1ba1baa57f69518d30b9f03a36337496b82cffd7fdf1a39f226dd337b78,Aztec FDV above $1.5B one day after launch?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xb286af054a29780972d76de77f56fbbc5fb309bacdd08b618e686e6be6061e29,Cap Cana: Cristian Garin vs Dalibor Svrcina,RESIDUAL,,atp-garin-svrcina-2026-03-10,atp-garin-svrcina-2026-03-10,Cap Cana: Cristian Garin vs Dalibor Svrcina
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x070c62018cc97c8d03d5d45dc12e95cb9d854bcc26d2020f1a1d61715b5bcc2a,Will Lebron play again by Christmas?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xbaca956790d3f4dd1f811fd15eef5597836e3d23e5bd7f00b0d3de878ab38c65,Will Ryusei Azemoto win the PDC World Darts Championship?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x81bb7166aa87cbb19c9b48e05cd289f5294a8171ec677ab0fac5e292bfa3ac18,"Will Pelosi say ""Stocks"" at DNC speech?",RESIDUAL,,,,
