# O-18 current market_ids (55) — captured 2026-07-02, for future diffing
# columns: market_id | end_date | resolution_date | last_checked | winning_outcome | data_source
0xebca06463a9dcfa46dce21d63313c31db6c58b9ab68c09cceb988378f9c2174f | 2026-06-02 00:00:00 | None | 2025-12-11 11:17:11 | Yes | historical_backfill
0xef17681e7f897248f326bd04c01c151337230db86a194085213dbbf838ca40a3 | 2026-06-03 00:00:00 | None | 2025-12-11 11:17:11 | No | historical_backfill
0xf75c23f760ae1b98b69d7f12a133deaafbc8a83518435169c43034aab41fceba | 2026-03-17 00:00:00 | None | 2025-12-11 11:17:11 | Yes | historical_backfill
0xf873ddd7f97b3b090c96bc359c054cb0865a896df20a24a3cbacb61c312096ec | 2026-03-17 00:00:00 | None | 2025-12-11 11:17:11 | No | historical_backfill
0xfc3b5ca63d2588fe51c1027c182bccb58e50d0bbca6bfeb2fbff76f6499b7c5d | 2025-11-21 00:00:00 | None | 2025-12-11 11:17:36 | No | historical_backfill
0xfecc10e2ccc3eb06d553aa6b356af36c6cef24a569600602b5d56afa8265906e | 2026-06-03 00:00:00 | None | 2025-12-11 11:18:02 | No | historical_backfill
0xfb7bae1eee41b5b676ebc174b2e4b4e35e98d37100ee8418c4d03e061c13326e | 2026-06-03 00:00:00 | None | 2025-12-11 11:18:03 | No | historical_backfill
0xfbda5ef76fac8f2daa92edb8ddec2f8b9646c8ccaa344e359f99d73f908d4d53 | 2026-06-03 00:00:00 | None | 2025-12-11 11:18:03 | Yes | historical_backfill
0xfcf558668f9ef1074f1f84a30a60d8bc0c1dfb2d508b22a21c2c5fb12275b3d2 | 2026-06-03 00:00:00 | None | 2025-12-11 11:18:03 | No | historical_backfill
0xff2a509a6423d4af22661e72e31af53ba208574dfc2244654eaa610244ae4287 | 2026-06-03 00:00:00 | None | 2025-12-11 11:18:03 | No | historical_backfill
0xfa5f534d4598af5b651d5e09fe5a30f4ff6949608125868ec7f2ae4c2f2d30e1 | 2026-06-03 00:00:00 | None | 2025-12-11 11:19:18 | No | historical_backfill
0xeec8878a64e41f43b81c4402f6b93f07899a85aff3be0683565aedbd23f99d6b | 2025-12-31 00:00:00 | None | 2025-12-11 11:19:36 | No | historical_backfill
0xea64b67bedc5f6793c567d23dfdf7288b6ee5858e068b91ab1a81e3563ee58f3 | 2026-03-05 00:00:00 | None | 2025-12-11 11:19:55 | Yes | historical_backfill
0x7513824347f82d50e4007c6b3c86551fd858a6d4054143dadd9c5c0f6c38c653 | 2026-06-02 00:00:00 | None | 2025-12-11 11:20:51 | No | historical_backfill
0x16018bc220429757f25b425b8b7d6d4dbb57cb64eda3c580b2cca91d64401128 | 2026-06-02 00:00:00 | None | 2025-12-11 11:21:05 | No | historical_backfill
0xc69548f5139ebcad8a997ad0c3a9ba66752f72f57597b816bfa201b29f4ad194 | 2026-06-02 00:00:00 | None | 2025-12-11 11:21:05 | No | historical_backfill
0xd50e6c773c1dc737c7b629d48b0a1873ee5ef222c7a9b5d897556517f3215616 | 2026-06-02 00:00:00 | None | 2025-12-11 11:21:05 | No | historical_backfill
0xf96a84e1a8b493ef004ea1606b346ea377243e879efb3f58658ec557a965fe61 | 2026-06-02 00:00:00 | None | 2025-12-11 11:21:05 | No | historical_backfill
0xf73a500ca233cbce912014ea288051f121684654ac3f27093d51f7e6d54213d0 | 2026-03-17 00:00:00 | None | 2025-12-11 11:21:53 | Yes | historical_backfill
0x2d2d5357b57260a71efa814cc9516f70cdaaa658bf0168625bf2fcc37fb138c0 | 2026-02-25 18:36:55 | None | 2026-01-12 22:12:30 | unknown | live_monitoring
0x88922399ae90dfec9abe74836e3edc08a33a3987736ea03696ee7a9778203bec | 2026-01-07 11:17:55 | None | 2026-01-12 22:12:30 | Yes | live_monitoring
0xe83e6b72f28815cde12735b1eb8b525eee8643e93954494be3bde48eea0e0189 | 2026-01-29 16:11:18 | None | 2026-01-12 22:12:30 | Yes | live_monitoring
0xef4e718ab127659472202c5a6e9ebf554ab9e39deb3bd8e151395f95f4f0af3c | 2026-02-09 09:59:32 | None | 2026-01-12 22:12:30 | No | live_monitoring
0x0008c221e7c6144fc68b08c1c02772772dca41f77a25a56f3acd5688ec450d98 | None | None | 2026-04-28 18:55:15 | No | live_monitoring
